Sepala_Comprimento,Sepala_Largura,Petala_Comprimento,Petala_Largura,Especie,Subconjunto
5.1,3.5,1.4,0.2,setosa,Validacao
4.9,3.0,1.4,0.2,setosa,Teste
4.7,3.2,1.3,0.2,setosa,Teste
4.6,3.1,1.5,0.2,setosa,Treino
5.0,3.6,1.4,0.2,setosa,Treino
5.4,3.9,1.7,0.4,setosa,Treino
4.6,3.4,1.4,0.3,setosa,Validacao
5.0,3.4,1.5,0.2,setosa,Treino
4.4,2.9,1.4,0.2,setosa,Teste
4.9,3.1,1.5,0.1,setosa,Treino
5.4,3.7,1.5,0.2,setosa,Treino
4.8,3.4,1.6,0.2,setosa,Validacao
4.8,3.0,1.4,0.1,setosa,Validacao
4.3,3.0,1.1,0.1,setosa,Teste
5.8,4.0,1.2,0.2,setosa,Validacao
5.7,4.4,1.5,0.4,setosa,Treino
5.4,3.9,1.3,0.4,setosa,Treino
5.1,3.5,1.4,0.3,setosa,Treino
5.7,3.8,1.7,0.3,setosa,Treino
5.1,3.8,1.5,0.3,setosa,Validacao
5.4,3.4,1.7,0.2,setosa,Treino
5.1,3.7,1.5,0.4,setosa,Treino
4.6,3.6,1.0,0.2,setosa,Validacao
5.1,3.3,1.7,0.5,setosa,Treino
4.8,3.4,1.9,0.2,setosa,Treino
5.0,3.0,1.6,0.2,setosa,Treino
5.0,3.4,1.6,0.4,setosa,Treino
5.2,3.5,1.5,0.2,setosa,Treino
5.2,3.4,1.4,0.2,setosa,Treino
4.7,3.2,1.6,0.2,setosa,Treino
4.8,3.1,1.6,0.2,setosa,Treino
5.4,3.4,1.5,0.4,setosa,Treino
5.2,4.1,1.5,0.1,setosa,Treino
5.5,4.2,1.4,0.2,setosa,Teste
4.9,3.1,1.5,0.2,setosa,Treino
5.0,3.2,1.2,0.2,setosa,Validacao
5.5,3.5,1.3,0.2,setosa,Teste
4.9,3.6,1.4,0.1,setosa,Treino
4.4,3.0,1.3,0.2,setosa,Treino
5.1,3.4,1.5,0.2,setosa,Treino
5.0,3.5,1.3,0.3,setosa,Treino
