Item_1a50,Percentual_0a100,Setosa_Indice_Base_1a150,Setosa_Subconjunto,Versicolor_Indice_Base_1a150,Versicolor_Subconjunto,Virginica_Indice_Base_1a150,Virginica_Subconjunto
1,0.0,1,Validacao,51,Treino,101,Validacao
2,2.04,2,Teste,52,Validacao,102,Validacao
3,4.08,3,Teste,53,Treino,103,Treino
4,6.12,4,Treino,54,Treino,104,Treino
5,8.16,5,Treino,55,Treino,105,Treino
6,10.2,6,Treino,56,Treino,106,Teste
7,12.24,7,Validacao,57,Treino,107,Treino
8,14.29,8,Treino,58,Treino,108,Treino
9,16.33,9,Teste,59,Treino,109,Treino
10,18.37,10,Treino,60,Treino,110,Teste
11,20.41,11,Treino,61,Validacao,111,Validacao
12,22.45,12,Validacao,62,Treino,112,Treino
13,24.49,13,Validacao,63,Teste,113,Treino
14,26.53,14,Teste,64,Treino,114,Validacao
15,28.57,15,Validacao,65,Treino,115,Treino
16,30.61,16,Treino,66,Treino,116,Treino
17,32.65,17,Treino,67,Treino,117,Treino
18,34.69,18,Treino,68,Teste,118,Treino
19,36.73,19,Treino,69,Treino,119,Validacao
20,38.78,20,Validacao,70,Treino,120,Validacao
21,40.82,21,Treino,71,Treino,121,Treino
22,42.86,22,Treino,72,Treino,122,Teste
23,44.9,23,Validacao,73,Validacao,123,Treino
24,46.94,24,Treino,74,Treino,124,Teste
25,48.98,25,Treino,75,Treino,125,Treino
26,51.02,26,Treino,76,Treino,126,Treino
27,53.06,27,Treino,77,Validacao,127,Treino
28,55.1,28,Treino,78,Treino,128,Validacao
29,57.14,29,Treino,79,Treino,129,Teste
30,59.18,30,Treino,80,Validacao,130,Treino
31,61.22,31,Treino,81,Treino,131,Treino
32,63.27,32,Treino,82,Validacao,132,Treino
33,65.31,33,Treino,83,Validacao,133,Treino
34,67.35,34,Teste,84,Treino,134,Treino
35,69.39,35,Treino,85,Treino,135,Treino
36,71.43,36,Validacao,86,Treino,136,Teste
37,73.47,37,Teste,87,Treino,137,Treino
38,75.51,38,Treino,88,Treino,138,Treino
39,77.55,39,Treino,89,Treino,139,Treino
40,79.59,40,Treino,90,Teste,140,Treino
41,81.63,41,Treino,91,Teste,141,Treino
42,83.67,42,Treino,92,Teste,142,Validacao
43,85.71,43,Treino,93,Teste,143,Treino
44,87.76,44,Treino,94,Treino,144,Treino
45,89.8,45,Treino,95,Treino,145,Treino
46,91.84,46,Treino,96,Validacao,146,Treino
47,93.88,47,Treino,97,Treino,147,Treino
48,95.92,48,Treino,98,Treino,148,Treino
49,97.96,49,Teste,99,Treino,149,Teste
50,100.0,50,Treino,100,Teste,150,Treino
